tracking_number,ticket_number,asset_tag,serial_number,label_created_date,carrier_acceptance_date,delivery_date,receiving_scan_date,shipment_status
1ZMD00000068,OFF-00068,MD-00068,MD-NE-050068,2026-06-19,,,,Label Created
1ZMD00000069,OFF-00069,MD-00069,MD-LA-050069,2026-06-23,,,,Label Created
1ZMD00000070,OFF-00070,MD-00070,MD-MO-050070,2026-06-28,,,,Label Created
1ZMD00000071,OFF-00071,MD-00071,MD-MO-050071,2026-06-25,,,,Label Created
1ZMD00000072,OFF-00072,MD-00072,MD-NE-050072,2026-06-25,,,,Label Created
1ZMD00000073,OFF-00073,MD-00073,MD-LA-050073,2026-06-25,,,,Label Created
1ZMD00000074,OFF-00074,MD-00074,MISMATCH-0074,2026-06-25,,,,Label Created
1ZMD00000075,OFF-00075,MD-00075,MD-MO-050075,2026-06-25,,,,Label Created
1ZMD00000076,OFF-00076,MD-00076,MISMATCH-0076,2026-06-25,,,,Label Created
1ZMD00000077,OFF-00077,MD-00077,MD-LA-050077,2026-06-25,,,,Label Created
1ZMD00000078,OFF-00078,MD-00078,MD-MO-050078,2026-06-25,,,,Label Created
1ZMD00000079,OFF-00079,MD-00079,MD-MO-050079,2026-06-25,,,,Label Created
1ZMD00000080,OFF-00080,MD-00080,MD-NE-050080,2026-06-25,2026-07-02,2026-07-06,2026-07-07,Delivered
1ZMD00000081,OFF-00081,MD-00081,MD-LA-050081,2026-06-25,2026-07-02,2026-07-06,2026-07-07,Delivered
1ZMD00000082,OFF-00082,MD-00082,MISMATCH-0082,2026-06-25,2026-07-02,,,Exception
1ZMD00000083,OFF-00083,MD-00083,MD-MO-050083,2026-06-25,2026-07-02,2026-07-06,2026-07-07,Delivered
1ZMD00000084,OFF-00084,MD-00084,MISMATCH-0084,2026-06-25,2026-07-02,,,Exception
1ZMD00000085,OFF-00085,MD-00085,MD-LA-050085,2026-06-25,2026-07-02,2026-07-06,2026-07-07,Delivered
1ZMD00000086,OFF-00086,MD-00086,MD-MO-050086,2026-06-25,2026-07-02,2026-07-06,2026-07-07,Delivered
1ZMD00000087,OFF-00087,MD-00087,MD-MO-050087,2026-06-25,2026-07-02,2026-07-06,2026-07-07,Delivered
1ZMD00000088,OFF-00088,MD-00088,MD-NE-050088,2026-06-25,2026-07-02,2026-07-06,2026-07-07,Delivered
