transfer_id,asset_tag,serial_number,from_custodian,to_custodian,from_location,to_location,transfer_date,approval_id,received_date
TR-00001,MD-00001,MD-LA-050001,Central Receiving,E0001,Atlanta Warehouse,Chicago,2026-01-21,APR-00001,2026-01-21
TR-00002,MD-00002,MD-MO-050002,Central Receiving,E0002,Atlanta Warehouse,Dallas,2026-02-23,APR-00002,2026-02-25
TR-00003,MD-00003,MD-MO-050003,Central Receiving,E0003,Atlanta Warehouse,Denver,2026-03-31,APR-00003,2026-04-03
TR-00004,MD-00004,MD-NE-050004,Central Receiving,E0004,Atlanta Warehouse,New York,2026-05-01,APR-00004,2026-05-01
TR-00005,MD-00005,MD-LA-050005,Central Receiving,E0005,Atlanta Warehouse,Seattle,2026-06-05,APR-00005,2026-06-08
TR-00006,MD-00006,MD-MO-050006,Central Receiving,E0006,Atlanta Warehouse,Atlanta,2026-01-10,APR-00006,2026-01-12
TR-00007,MD-00007,MD-MO-050007,Central Receiving,E0007,Atlanta Warehouse,Chicago,2026-02-11,APR-00007,2026-02-17
TR-00008,MD-00008,MD-NE-050008,Central Receiving,E0008,Atlanta Warehouse,Dallas,2026-03-16,APR-00008,2026-03-19
TR-00009,MD-00009,MD-LA-050009,Central Receiving,E0009,Atlanta Warehouse,Denver,2026-04-20,APR-00009,2026-04-21
TR-00010,MD-00010,MD-MO-050010,Central Receiving,E0010,Atlanta Warehouse,New York,2026-05-22,APR-00010,2026-05-28
TR-00011,MD-00011,MD-MO-050011,Central Receiving,E0011,Atlanta Warehouse,Seattle,2026-06-26,APR-00011,2026-06-28
TR-00012,MD-00012,MD-NE-050012,Central Receiving,E0012,Atlanta Warehouse,Atlanta,2026-01-30,APR-00012,2026-01-31
TR-00013,MD-00013,MD-LA-050013,Central Receiving,E0013,Atlanta Warehouse,Chicago,2026-02-02,APR-00013,2026-02-06
TR-00014,MD-00014,MD-MO-050014,Central Receiving,E0014,Atlanta Warehouse,Dallas,2026-03-07,APR-00014,2026-03-09
TR-00015,MD-00015,MD-MO-050015,Central Receiving,E0015,Atlanta Warehouse,Denver,2026-04-12,APR-00015,2026-04-13
TR-00016,MD-00016,MD-NE-050016,Central Receiving,E0016,Atlanta Warehouse,New York,2026-05-13,APR-00016,2026-05-17
TR-00017,MD-00017,MD-LA-050017,Central Receiving,E0017,Atlanta Warehouse,Seattle,2026-06-17,APR-00017,2026-06-19
TR-00018,MD-00018,MD-MO-050018,Central Receiving,E0018,Atlanta Warehouse,Atlanta,2026-01-22,APR-00018,2026-01-23
TR-00019,MD-00019,MD-MO-050019,Central Receiving,E0019,Atlanta Warehouse,Chicago,2026-02-23,APR-00019,2026-02-26
TR-00020,MD-00020,MD-NE-050020,Central Receiving,E0020,Atlanta Warehouse,Dallas,2026-03-28,APR-00020,2026-03-30
TR-00021,MD-00021,MD-LA-050021,Central Receiving,E0021,Atlanta Warehouse,Denver,2026-05-02,APR-00021,2026-05-03
TR-00022,MD-00022,MD-MO-050022,Central Receiving,E0022,Atlanta Warehouse,New York,2026-06-03,APR-00022,2026-06-05
TR-00023,MD-00023,MD-MO-050023,Central Receiving,E0023,Atlanta Warehouse,Seattle,2026-07-08,APR-00023,2026-07-09
TR-00024,MD-00024,MD-NE-050024,Central Receiving,E0024,Atlanta Warehouse,Atlanta,2026-01-18,APR-00024,2026-01-21
TR-00025,MD-00025,MD-LA-050021,Central Receiving,E0025,Atlanta Warehouse,Chicago,2026-01-21,APR-00025,2026-01-22
TR-00026,MD-00026,MD-MO-050026,Central Receiving,E0026,Atlanta Warehouse,Dallas,2026-02-23,APR-00026,2026-02-27
TR-00027,MD-00027,MD-MO-050027,Central Receiving,E0027,Atlanta Warehouse,Denver,2026-03-31,APR-00027,2026-04-06
TR-00028,MD-00028,MD-NE-050028,Central Receiving,E0028,Atlanta Warehouse,New York,2026-05-01,APR-00028,2026-05-02
TR-00029,MD-00029,MD-LA-050029,Central Receiving,E0029,Atlanta Warehouse,Seattle,2026-06-05,APR-00029,2026-06-11
TR-00030,MD-00030,MD-MO-050030,Central Receiving,E0030,Atlanta Warehouse,Atlanta,2026-01-10,APR-00030,2026-01-13
TR-00031,MD-00031,MD-MO-050031,Central Receiving,E0031,Atlanta Warehouse,Chicago,2026-02-11,APR-00031,2026-02-11
TR-00032,MD-00032,MD-NE-050032,Central Receiving,E0032,Atlanta Warehouse,Dallas,2026-03-16,APR-00032,2026-03-22
TR-00033,MD-00033,MD-LA-050033,Central Receiving,E0033,Atlanta Warehouse,Denver,2026-04-20,APR-00033,2026-04-22
TR-00034,MD-00034,MD-MO-050034,Central Receiving,E0034,Atlanta Warehouse,New York,2026-05-22,APR-00034,2026-05-22
TR-00035,MD-00035,MD-MO-050035,Central Receiving,E0035,Atlanta Warehouse,Seattle,2026-06-26,APR-00035,2026-06-30
TR-00036,MD-00036,MD-NE-050036,Central Receiving,E0036,Atlanta Warehouse,Atlanta,2026-01-30,APR-00036,2026-02-01
TR-00037,MD-00037,MD-LA-050037,Central Receiving,E0037,Atlanta Warehouse,Chicago,2026-02-02,APR-00037,2026-02-02
TR-00038,MD-00038,MD-MO-050038,Central Receiving,E0038,Atlanta Warehouse,Dallas,2026-03-07,APR-00038,2026-03-11
TR-00039,MD-00039,MD-MO-050039,Central Receiving,E0039,Atlanta Warehouse,Denver,2026-04-12,APR-00039,2026-04-14
TR-00040,MD-00040,MD-NE-050040,Central Receiving,E0040,Atlanta Warehouse,New York,2026-05-13,APR-00040,2026-05-13
TR-00041,MD-00041,MD-LA-050041,Central Receiving,E0041,Atlanta Warehouse,Seattle,2026-06-17,APR-00041,2026-06-20
TR-00042,MD-00042,MD-MO-050042,Central Receiving,E0042,Atlanta Warehouse,Atlanta,2026-01-22,APR-00042,2026-01-24
TR-00043,MD-00043,MD-MO-050043,Central Receiving,E0043,Atlanta Warehouse,Chicago,2026-02-23,APR-00043,2026-03-01
TR-00044,MD-00044,MD-NE-050044,Central Receiving,E0044,Atlanta Warehouse,Dallas,2026-03-28,APR-00044,2026-03-31
TR-00045,MD-00045,MD-LA-050045,Central Receiving,E0045,Atlanta Warehouse,Denver,2026-05-02,APR-00045,2026-05-03
TR-00046,MD-00046,MD-MO-050046,Central Receiving,IT Stock,Atlanta Warehouse,New York,2026-06-03,APR-00046,2026-06-07
TR-00047,MD-00047,MD-MO-050047,Central Receiving,IT Stock,Atlanta Warehouse,Seattle,2026-07-08,APR-00047,2026-07-10
TR-00048,MD-00048,MD-NE-050048,Central Receiving,IT Stock,Atlanta Warehouse,Atlanta,2026-01-18,APR-00048,2026-01-24
TR-00049,MD-00049,MD-LA-050049,Central Receiving,IT Stock,Atlanta Warehouse,Chicago,2026-01-21,APR-00049,2026-01-23
TR-00050,MD-00050,MD-MO-050050,Central Receiving,IT Stock,Atlanta Warehouse,Dallas,2026-02-23,APR-00050,2026-02-23
TR-00051,MD-00051,MD-MO-050051,Central Receiving,IT Stock,Atlanta Warehouse,Denver,2026-03-31,APR-00051,2026-03-31
TR-00052,MD-00052,MD-NE-050052,Central Receiving,IT Stock,Atlanta Warehouse,New York,2026-05-01,APR-00052,2026-05-02
TR-00053,MD-00053,MD-LA-050053,Central Receiving,IT Stock,Atlanta Warehouse,Seattle,2026-06-05,APR-00053,2026-06-05
TR-00054,MD-00054,MD-MO-050054,Central Receiving,IT Stock,Atlanta Warehouse,Atlanta,2026-01-10,APR-00054,2026-01-16
TR-00055,MD-00055,MD-MO-050055,Central Receiving,IT Stock,Atlanta Warehouse,Chicago,2026-02-11,APR-00055,2026-02-12
TR-00056,MD-00056,MD-NE-050056,Central Receiving,IT Stock,Atlanta Warehouse,Dallas,2026-03-16,APR-00056,2026-03-16
TR-00057,MD-00057,MD-LA-050057,Central Receiving,IT Stock,Atlanta Warehouse,Denver,2026-04-20,APR-00057,2026-04-24
TR-00058,MD-00058,MD-MO-050058,Central Receiving,Regional IT,Atlanta Warehouse,New York,2026-05-22,,2026-05-23
TR-00059,MD-00059,MD-MO-050059,Central Receiving,Regional IT,Atlanta Warehouse,Seattle,2026-06-26,,2026-06-26
TR-00060,MD-00060,MD-NE-050060,Central Receiving,Regional IT,Atlanta Warehouse,Atlanta,2026-01-30,APR-00060,2026-02-02
TR-00061,MD-00061,MD-LA-050061,Central Receiving,Regional IT,Atlanta Warehouse,Chicago,2026-02-02,APR-00061,2026-02-03
TR-00062,MD-00062,MD-MO-050062,Central Receiving,Regional IT,Atlanta Warehouse,Dallas,2026-03-07,APR-00062,2026-03-07
TR-00063,MD-00063,MD-MO-050063,Central Receiving,Regional IT,Atlanta Warehouse,Denver,2026-04-12,APR-00063,2026-04-16
TR-00064,MD-00064,MD-NE-050064,Central Receiving,Regional IT,Atlanta Warehouse,New York,2026-05-13,,2026-05-14
TR-00065,MD-00065,MD-LA-050065,Central Receiving,Regional IT,Atlanta Warehouse,Seattle,2026-06-17,,2026-06-23
TR-00066,MD-00066,MD-MO-050066,Central Receiving,Regional IT,Atlanta Warehouse,Atlanta,2026-01-22,APR-00066,2026-01-25
TR-00067,MD-00067,MD-MO-050067,Central Receiving,Regional IT,Atlanta Warehouse,Chicago,2026-02-23,APR-00067,2026-02-23
TR-00068,MD-00068,MD-NE-050068,Central Receiving,E0071,Atlanta Warehouse,Remote - Former Employee,2026-03-28,APR-00068,2026-04-03
TR-00069,MD-00069,MD-LA-050069,Central Receiving,E0072,Atlanta Warehouse,Remote - Former Employee,2026-05-02,APR-00069,2026-05-04
TR-00070,MD-00070,MD-MO-050070,Central Receiving,E0073,Atlanta Warehouse,Remote - Former Employee,2026-06-03,APR-00070,2026-06-03
TR-00071,MD-00071,MD-MO-050071,Central Receiving,E0074,Atlanta Warehouse,Remote - Former Employee,2026-07-08,APR-00071,2026-07-12
TR-00072,MD-00072,MD-NE-050072,Central Receiving,E0075,Atlanta Warehouse,Remote - Former Employee,2026-01-18,APR-00072,2026-01-18
TR-00073,MD-00073,MD-LA-050073,Central Receiving,E0076,Atlanta Warehouse,Remote - Former Employee,2026-01-21,APR-00073,2026-01-24
TR-00074,MD-00074,MD-MO-050074,Central Receiving,E0077,Atlanta Warehouse,Remote - Former Employee,2026-02-23,APR-00074,2026-02-24
TR-00075,MD-00075,MD-MO-050075,Central Receiving,E0078,Atlanta Warehouse,Remote - Former Employee,2026-03-31,APR-00075,2026-04-01
TR-00076,MD-00076,MD-NE-050076,Central Receiving,E0079,Atlanta Warehouse,Remote - Former Employee,2026-05-01,APR-00076,2026-05-03
