purchase_order,vendor,order_date,asset_tag,line_amount,po_total,capitalization_approved,approver_role,asset_tags
PO-2022-0001,CDW,2022-01-03,MD-00001,1895,3590,Yes,IT Procurement Manager,MD-00001; MD-00002; MD-00003
PO-2022-0001,CDW,2022-01-03,MD-00002,610,3590,Yes,IT Procurement Manager,MD-00001; MD-00002; MD-00003
PO-2022-0001,CDW,2022-01-03,MD-00003,1085,3590,Yes,IT Procurement Manager,MD-00001; MD-00002; MD-00003
PO-2023-0002,SHI,2023-02-07,MD-00004,6380,16440,Yes,Hardware Buying Lead,MD-00004; MD-00005; MD-00006; MD-00007; MD-00008
PO-2023-0002,SHI,2023-02-07,MD-00005,2075,16440,Yes,Hardware Buying Lead,MD-00004; MD-00005; MD-00006; MD-00007; MD-00008
PO-2023-0002,SHI,2023-02-07,MD-00006,790,16440,Yes,Hardware Buying Lead,MD-00004; MD-00005; MD-00006; MD-00007; MD-00008
PO-2023-0002,SHI,2023-02-07,MD-00007,950,16440,Yes,Hardware Buying Lead,MD-00004; MD-00005; MD-00006; MD-00007; MD-00008
PO-2023-0002,SHI,2023-02-07,MD-00008,6245,16440,Yes,Hardware Buying Lead,MD-00004; MD-00005; MD-00006; MD-00007; MD-00008
PO-2024-0003,Insight,2024-03-09,MD-00009,1940,20075,Yes,"Director, Procurement",MD-00009; MD-00010; MD-00011; MD-00012; MD-00013; MD-00014; MD-00015; MD-00016
PO-2024-0003,Insight,2024-03-09,MD-00010,655,20075,Yes,"Director, Procurement",MD-00009; MD-00010; MD-00011; MD-00012; MD-00013; MD-00014; MD-00015; MD-00016
PO-2024-0003,Insight,2024-03-09,MD-00011,1130,20075,Yes,"Director, Procurement",MD-00009; MD-00010; MD-00011; MD-00012; MD-00013; MD-00014; MD-00015; MD-00016
PO-2024-0003,Insight,2024-03-09,MD-00012,6425,20075,Yes,"Director, Procurement",MD-00009; MD-00010; MD-00011; MD-00012; MD-00013; MD-00014; MD-00015; MD-00016
PO-2024-0003,Insight,2024-03-09,MD-00013,2120,20075,Yes,"Director, Procurement",MD-00009; MD-00010; MD-00011; MD-00012; MD-00013; MD-00014; MD-00015; MD-00016
PO-2024-0003,Insight,2024-03-09,MD-00014,520,20075,Yes,"Director, Procurement",MD-00009; MD-00010; MD-00011; MD-00012; MD-00013; MD-00014; MD-00015; MD-00016
PO-2024-0003,Insight,2024-03-09,MD-00015,995,20075,Yes,"Director, Procurement",MD-00009; MD-00010; MD-00011; MD-00012; MD-00013; MD-00014; MD-00015; MD-00016
PO-2024-0003,Insight,2024-03-09,MD-00016,6290,20075,Yes,"Director, Procurement",MD-00009; MD-00010; MD-00011; MD-00012; MD-00013; MD-00014; MD-00015; MD-00016
PO-2025-0004,Connection,2025-04-12,MD-00017,1985,10330,Yes,IT Procurement Manager,MD-00017; MD-00018; MD-00019; MD-00020
PO-2025-0004,Connection,2025-04-12,MD-00018,700,10330,Yes,IT Procurement Manager,MD-00017; MD-00018; MD-00019; MD-00020
PO-2025-0004,Connection,2025-04-12,MD-00019,1175,10330,Yes,IT Procurement Manager,MD-00017; MD-00018; MD-00019; MD-00020
PO-2025-0004,Connection,2025-04-12,MD-00020,6470,10330,Yes,IT Procurement Manager,MD-00017; MD-00018; MD-00019; MD-00020
PO-2022-0005,Zones,2022-05-14,MD-00021,1850,13785,Yes,P2P Approver,MD-00021; MD-00022; MD-00023; MD-00024; MD-00025; MD-00026; MD-00027
PO-2022-0005,Zones,2022-05-14,MD-00022,565,13785,Yes,P2P Approver,MD-00021; MD-00022; MD-00023; MD-00024; MD-00025; MD-00026; MD-00027
PO-2022-0005,Zones,2022-05-14,MD-00023,1040,13785,Yes,P2P Approver,MD-00021; MD-00022; MD-00023; MD-00024; MD-00025; MD-00026; MD-00027
PO-2022-0005,Zones,2022-05-14,MD-00024,6335,13785,Yes,P2P Approver,MD-00021; MD-00022; MD-00023; MD-00024; MD-00025; MD-00026; MD-00027
PO-2022-0005,Zones,2022-05-14,MD-00025,2030,13785,Yes,P2P Approver,MD-00021; MD-00022; MD-00023; MD-00024; MD-00025; MD-00026; MD-00027
